strategy_id,signal_date,rebalance_date,execution_date,ticker,action,previous_weight,target_weight,delta_weight,simulated_execution_price,turnover_contribution,estimated_transaction_cost,execution_convention,run_id,record_status
QUALITY_PROFITABILITY,2018-01-31,2018-01-31,2018-01-31,CAT,SELL,0.0,-0.125,-0.125,164.6999969482422,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-01-31,2018-01-31,2018-01-31,CSCO,SELL,0.0,-0.125,-0.125,41.97999954223633,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-01-31,2018-01-31,2018-01-31,DE,SELL,0.0,-0.125,-0.125,169.4199981689453,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-01-31,2018-01-31,2018-01-31,GM,SELL,0.0,-0.125,-0.125,42.77999877929688,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-01-31,2018-01-31,2018-01-31,HD,BUY,0.0,0.125,0.125,203.22000122070312,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-01-31,2018-01-31,2018-01-31,LOW,BUY,0.0,0.125,0.125,105.66999816894533,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-01-31,2018-01-31,2018-01-31,META,BUY,0.0,0.125,0.125,188.3699951171875,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-01-31,2018-01-31,2018-01-31,SBUX,BUY,0.0,0.125,0.125,57.22999954223633,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-03-01,2018-03-01,2018-03-01,COST,SELL,0.0,-0.125,-0.125,191.30999755859372,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-03-01,2018-03-01,2018-03-01,CSCO,COVER,-0.125,0.0,0.125,44.68000030517578,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-03-01,2018-03-01,2018-03-01,GOOGL,BUY,0.0,0.125,0.125,55.47700119018555,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-03-01,2018-03-01,2018-03-01,SBUX,SELL,0.125,0.0,-0.125,57.0,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-03-29,2018-03-29,2018-03-29,COST,COVER,-0.125,0.0,0.125,184.7400054931641,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-03-29,2018-03-29,2018-03-29,CSCO,SELL,0.0,-0.125,-0.125,41.93999862670898,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-04-27,2018-04-27,2018-04-27,CAT,COVER,-0.125,0.0,0.125,145.6699981689453,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-04-27,2018-04-27,2018-04-27,CSCO,COVER,-0.125,0.0,0.125,44.68999862670898,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
QUALITY_PROFITABILITY,2018-04-27,2018-04-27,2018-04-27,GOOGL,SELL,0.125,0.0,-0.125,52.277000427246094,0.125,6.25e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_RESEARCH_PACK_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
